sourceTaxonId	sourceTaxonName	interactionTypeId	interactionTypeName	targetTaxonId	targetTaxonName	LocationinhostName	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceDoi	referenceCitation
EOL:53712	Syndesmis	RO:0002444	parasite of		Evechinus chloroticus	Digestive tract	GEONAMES:2186224	New Zealand	-42	174		doi:10.3354/dao002205	Jangoux, M. Diseases of Echinodermata. II. Agents Metazoans (Mesozoa to Bryozoa). Diseases of Aquatic Organisms, 1986, 205-34.
EOL:53712	Syndesmis	RO:0002444	parasite of		Heliocidaris erythrogramma	Digestive tract	GEONAMES:2186224	New Zealand	-42	174		doi:10.3354/dao002205	Jangoux, M. Diseases of Echinodermata. II. Agents Metazoans (Mesozoa to Bryozoa). Diseases of Aquatic Organisms, 1986, 205-34.
	Acholades asteris	RO:0002444	parasite of		Coscinasteria calamaria	Encysted in tube feet wall	GEONAMES:2169041	SW Indian Ocean (Tasmania: D'Entrecasteaux Channel)	-43.28333	147.25		doi:10.3354/dao002205	Jangoux, M. Diseases of Echinodermata. II. Agents Metazoans (Mesozoa to Bryozoa). Diseases of Aquatic Organisms, 1986, 205-34.
	Aechmalotus pyrula	RO:0002444	parasite of		Eupyrgus scaber	Digestive tract and respiratory trees	GEONAMES:630674	Barents Sea (Murmansk coast)	74	36		doi:10.3354/dao002205	Jangoux, M. Diseases of Echinodermata. II. Agents Metazoans (Mesozoa to Bryozoa). Diseases of Aquatic Organisms, 1986, 205-34.
	Ananus asteroideus	RO:0002444	parasite of		Diplopteraster perigrinator	Encysted in tube feet wall		Antartic Seas (off Kerguelen Islands)				doi:10.3354/dao002205	Jangoux, M. Diseases of Echinodermata. II. Agents Metazoans (Mesozoa to Bryozoa). Diseases of Aquatic Organisms, 1986, 205-34.
	Annulobalcis marshalli	RO:0002444	parasite of		Crotalometra rustica	Attached between arm ossicles	GEONAMES:4030483	New Zealand(off Mayor Island)	-45	-130		doi:10.3354/dao002205	Jangoux, M. Diseases of Echinodermata. II. Agents Metazoans (Mesozoa to Bryozoa). Diseases of Aquatic Organisms, 1986, 205-34.
	Anoplodiera	RO:0002444	parasite of		Holothuria arenicola	Pharynx	GEONAMES:3411923	Tropical W Atlantic (Bermuda)	40	-40		doi:10.3354/dao002205	Jangoux, M. Diseases of Echinodermata. II. Agents Metazoans (Mesozoa to Bryozoa). Diseases of Aquatic Organisms, 1986, 205-34.
	Anoplodiera voluta	RO:0002444	parasite of		Parastichopus tremulus	Digestive tract	GEONAMES:2960848	North Sea (Herdla, Trondhjem)	55.3333	3		doi:10.3354/dao002205	Jangoux, M. Diseases of Echinodermata. II. Agents Metazoans (Mesozoa to Bryozoa). Diseases of Aquatic Organisms, 1986, 205-34.
	Anoplodiera voluta	RO:0002444	parasite of		Parastichopus tremulus	Anterior part of digestive tract	GEONAMES:2960848	North Sea (Oslo fjord)	55.3333	3		doi:10.3354/dao002205	Jangoux, M. Diseases of Echinodermata. II. Agents Metazoans (Mesozoa to Bryozoa). Diseases of Aquatic Organisms, 1986, 205-34.
	Anoplodiopsis gracilis	RO:0002444	parasite of		Holothuria forskali	Coelomic cavity	GEONAMES:363196	Mediterranean Sea (Naples)	35	20		doi:10.3354/dao002205	Jangoux, M. Diseases of Echinodermata. II. Agents Metazoans (Mesozoa to Bryozoa). Diseases of Aquatic Organisms, 1986, 205-34.
	Anoplodium evelinae	RO:0002444	parasite of		Unidentified holothuroid	Coelomic cavity	GEONAMES:3358844	SW Atlantic (Brazil: Santos Bay)	-45	-15		doi:10.3354/dao002205	Jangoux, M. Diseases of Echinodermata. II. Agents Metazoans (Mesozoa to Bryozoa). Diseases of Aquatic Organisms, 1986, 205-34.
	Anoplodium graffi	RO:0002444	parasite of		Holothuria impatiens	Coelomic cavity	GEONAMES:363196	Mediterranean Sea (Naples)	35	20		doi:10.3354/dao002205	Jangoux, M. Diseases of Echinodermata. II. Agents Metazoans (Mesozoa to Bryozoa). Diseases of Aquatic Organisms, 1986, 205-34.
	Anoplodium hymanae	RO:0002444	parasite of		Parastichopus californicus	Coelomic cavity	GEONAMES:5791203	NE Pacififc (Washington coast: Cowlitz Bay)	48.69094	-123.05019		doi:10.3354/dao002205	Jangoux, M. Diseases of Echinodermata. II. Agents Metazoans (Mesozoa to Bryozoa). Diseases of Aquatic Organisms, 1986, 205-34.
